district_id,district_name,state,year,latitude,longitude,population,urban_population,rural_population,number_of_doctors,number_of_hospitals,hospital_beds,primary_health_centers,disease_burden_index,doctor_to_population_ratio,bed_availability_index,healthcare_access_score,under_served_flag
IND_0001,Agra,Uttar Pradesh,2019,26.272,84.2304,696192,258553,437639,171,10,286,4,0.4456,0.2456,0.0822,0.2545,1
IND_0001,Agra,Uttar Pradesh,2020,26.272,84.2304,706694,265986,440708,165,,219,7,0.5365,0.2335,0.062,0.233,1
IND_0001,Agra,Uttar Pradesh,2021,26.272,84.2304,717630,273691,443939,226,18,547,4,,0.3149,0.1524,0.2439,1
IND_0001,Agra,Uttar Pradesh,2022,26.272,84.2304,724110,279782,,174,15,287,4,0.5918,0.2403,0.0793,0.2011,1
IND_0001,Agra,Uttar Pradesh,2023,26.272,84.2304,742645,290657,451988,315,12,150,,0.4684,0.4242,0.0404,0.2611,1
IND_0002,Aligarh,Uttar Pradesh,2019,29.1336,81.8505,110051,32512,77539,41,2,50,1,0.5298,0.3726,0.0909,0.2783,1
IND_0002,Aligarh,Uttar Pradesh,2020,29.1336,81.8505,111611,33530,78081,61,2,50,1,0.5373,0.5465,0.0896,0.294,1
IND_0002,Aligarh,Uttar Pradesh,2021,29.1336,81.8505,113554,34682,78872,39,2,50,1,0.574,0.3434,0.0881,0.2606,1
IND_0002,Aligarh,Uttar Pradesh,2022,29.1336,81.8505,115946,35992,79954,40,2,50,1,0.6246,0.345,0.0862,0.2206,1
IND_0002,Aligarh,Uttar Pradesh,2023,29.1336,81.8505,117098,36935,80163,16,2,51,1,0.5049,0.1366,0.0871,0.2587,1
IND_0003,Ambedkar Nagar,Uttar Pradesh,2019,25.5503,78.9299,419168,125947,293221,352,14,222,,0.3921,0.8398,0.1059,0.4892,0
IND_0003,Ambedkar Nagar,Uttar Pradesh,2020,25.5503,78.9299,426621,130319,296302,377,12,220,5,0.5297,0.8837,0.1031,0.3751,0
IND_0003,Ambedkar Nagar,Uttar Pradesh,2021,25.5503,78.9299,432843,134384,298459,353,12,338,10,0.5577,0.8155,,0.4945,0
IND_0003,Ambedkar Nagar,Uttar Pradesh,2022,25.5503,78.9299,438047,138190,299857,322,14,178,9,,0.7351,0.0813,0.4598,0
IND_0003,Ambedkar Nagar,Uttar Pradesh,2023,25.5503,78.9299,446337,143037,303300,402,14,390,6,0.4158,0.9007,0.1748,0.432,0
IND_0004,Amethi,Uttar Pradesh,2019,27.4587,81.6879,1415383,267277,1148106,588,32,931,35,0.4211,0.4154,,0.4156,0
IND_0004,Amethi,Uttar Pradesh,2020,27.4587,81.6879,1435548,278263,1157285,1095,55,839,20,0.488,0.7628,0.1169,0.385,0
IND_0004,Amethi,Uttar Pradesh,2021,27.4587,81.6879,1452923,,1164027,662,33,846,21,0.4885,0.4556,0.1165,0.3355,0
IND_0004,Amethi,Uttar Pradesh,2022,27.4587,81.6879,1474321,300522,1173799,800,58,1174,28,0.4665,0.5426,0.1593,0.4059,0
IND_0004,Amethi,Uttar Pradesh,2023,27.4587,81.6879,1516334,316667,1199667,977,61,1121,42,0.4926,0.6443,0.1479,0.4675,0
IND_0005,Amroha,Uttar Pradesh,2019,24.402,80.8082,466523,111671,354852,279,11,268,6,0.3626,0.598,0.1149,0.3727,0
IND_0005,Amroha,Uttar Pradesh,2020,24.402,80.8082,474881,116046,,394,,254,9,0.5326,0.8297,0.107,0.4216,0
IND_0005,Amroha,Uttar Pradesh,2021,24.402,80.8082,483253,120508,,304,18,562,6,0.5381,0.6291,0.2326,0.3683,0
IND_0005,Amroha,Uttar Pradesh,2022,24.402,80.8082,488562,124275,364287,452,13,387,,0.443,0.9252,0.1584,0.4806,0
IND_0005,Amroha,Uttar Pradesh,2023,24.402,80.8082,495573,128536,367037,316,,,12,0.4925,0.6376,0.207,0.4816,0
IND_0006,Auraiya,Uttar Pradesh,2019,27.7213,79.9567,1243774,339709,904065,545,47,1500,25,0.4653,0.4382,0.2412,0.4442,0
IND_0006,Auraiya,Uttar Pradesh,2020,27.7213,79.9567,1263312,351361,911951,,44,1207,24,0.5509,0.6095,,0.4248,0
IND_0006,Auraiya,Uttar Pradesh,2021,27.7213,79.9567,1279104,362149,916955,965,40,758,24,0.5313,0.7544,0.1185,0.4195,0
